sentence
x + A = B --> x = B - A
x - A = B --> x = B + A
Ax = B --> x = B/A
x/A = B --> x = A*B
x**2 = A --> x = A**(1/2)
x^(1/2) = A --> x = A^2
y + A = B --> y = B - A
y - A = B --> y = B + A
Ay = B --> y = B/A
y/A = B --> y = A*B
y^2 = A --> y = A^(1/2)
y^(1/2) = A --> y = A^2
y = B + Ax --> y - B = Ax
A = B/y --> A*y = B
Ax + Ay = B --> A(x + y) = B
A(x + y) = B --> x + y = B/A
x + x = A --> 2x = A
y + y = A --> 2y = A
Ax - Ay = B --> A(x - y) = B
A(x - y) = B --> x - y = B/A
Bx + By = A --> B(x + y) = A
x - B = A --> x = A + B
Bx = A --> x = A/B
x + B = A --> x = A - B
Bx - By = A --> B(x - y) = A
B(x - y) = A --> x - y = A/B
z + z = A --> 2z = A
A = B/z --> A*z = B
x + z = A --> x = A - z
x/z = A --> x = A*z
z^2 = A --> z = A^(1/2)
z^(1/2) = A --> z = A^2
Az - Ay = B --> A(z - y) = B
A(z - y) = B --> z - y = B/A
Az + Ay = B --> A(z + y) = B
A(z + y) = B --> z + y = B/A
y + y = B --> 2y = B
By - Bz = A --> B(y - z) = A
B(y - z) = A --> y - z = A/B
By + Bz = A --> B(y + z) = A
B(y + z) = A --> y + z = A/B
z + z = B --> 2z = B
zx + zy = A --> z(x + y) = A
z(x + y) = A --> zx + zy = A
xy + xz = A --> x(y + z) = A
x(y + z) = A --> xy + xz = A
y = A + x --> y - A = x
y = A - x --> y + x = A
y = Ax --> y/x = A
y/x = A --> y = A*x
yz + yx = A --> y(z + x) = A
y(z + x) = A --> yz + yx = A
y + y = z --> 2y = z
zx + zy = B --> z(x + y) = B
z(x + y) = B --> zx + zy = B
zx - zy = B --> z(x - y) = B
z(x - y) = B --> zx - zy = B
x = A + z --> x - A = z
x = A - z --> x + z = A
x + x = z --> 2x = z
z = A/y --> z*y = A
z = A + y --> z - A = y
z = A - y --> z + y = A
y = A/z --> y*z = A
y = A + z --> y - A = z
y = A - z --> y + z = A
z = A/x --> z*x = A
z = A + x --> z - A = x
z = A - x --> z + x = A
z + z = x --> 2z = x
Ax + Az = B --> A(x + z) = B
A(x + z) = B --> x + z = B/A
x + x = y --> 2x = y
Bx + Bz = A --> B(x + z) = A
B(x + z) = A --> x + z = A/B
z + z = y --> 2z = y
zx - A = B --> zx = B + A
zx + A = B --> zx = B - A
zy - B = A --> zy = A + B
zy + B = A --> zy = A - B
zx - y = A --> zx = A + y
zx + y = A --> zx = A - y
y + y = x --> 2y = x
z - A = x --> z = x + A
z + A = x --> z = x - A
x - B = z --> x = z + B
x + B = z --> x = z - B
Bz + Bx = A --> B(z + x) = A
B(z + x) = A --> z + x = A/B
y - x = A --> y = A + x
y + x = A --> y = A - x
x - z = A --> x = A + z
z - y = A --> z = A + y
z + y = A --> z = A - y
y - A = z --> y = z + A
y + A = z --> y = z - A
z - B = y --> z = y + B
z + B = y --> z = y - B
Bz + By = A --> B(z + y) = A
B(z + y) = A --> z + y = A/B
Bx + By = A --> B(x + y) = A
B(x + y) = A --> x + y = A/B
Az + Ax = B --> A(z + x) = B
A(z + x) = B --> z + x = B/A
yx + yz = A --> y(x + z) = A
y(x + z) = A --> yx + yz = A
xz + xy = A --> x(z + y) = A
x(z + y) = A --> xz + xy = A
x + C = A --> x = A - C
Cx = A --> x = A/C
x - C = A --> x = A + C
x + x = C --> 2x = C
x/C = A --> x = A*C
x**(1/3) = A --> x = A^3
Cx - Cy = A --> C(x - y) = A
C(x - y) = A --> x - y = A/C
y - C = A --> y = A + C
y/C = A --> y = A*C
y + C = A --> y = A - C
y + y = C --> 2y = C
y**(1/3) = A --> y = A^3
Cy - Cx = A --> C(y - x) = A
C(y - x) = A --> y - x = A/C
y + x = C --> y + x = C
x = C/y --> xy = C
Cz - Cx = A --> C(z - x) = A
C(z - x) = A --> z - x = A/C
Cx + Cy = A --> C(x + y) = A
C(x + y) = A --> x + y = A/C
z = C - x --> z = C - x
Cy + Cz = A --> C(y + z) = A
C(y + z) = A --> y + z = A/C
z = C - y --> z = C - y
Cz + Cy = A --> C(z + y) = A
C(z + y) = A --> z + y = A/C
Cz + Cx = B --> C(z + x) = B
C(z + x) = B --> z + x = B/C
y = C/x --> yx = C
Cy + Cx = B --> C(y + x) = B
C(y + x) = B --> y + x = B/C
y + z = C --> y + z = C
Cx + Cz = B --> C(x + z) = B
C(x + z) = B --> x + z = B/C
Cz + Cx = A --> C(z + x) = A
C(z + x) = A --> z + x = A/C
z + y = C --> z + y = C
x = C/z --> xz = C
y = C - z --> y = C - z
Cy + Cz = B --> C(y + z) = B
C(y + z) = B --> y + z = B/C
Cy + Cx = A --> C(y + x) = A
C(y + x) = A --> y + x = A/C
Cz + Cx = B --> C(z + x) = B
C(z + x) = B --> z + x = B/C
Cx + Cz = A --> C(x + z) = A
C(x + z) = A --> x + z = A/C
Cz + Cy = B --> C(z + y) = B
C(z + y) = B --> z + y = B/C
Cx + Cz = A --> C(x + z) = A
C(x + z) = A --> x + z = A/C
Cz + Cx = A --> C(z + x) = A
C(z + x) = A --> z + x = A/C
Cx + Cy = B --> C(x + y) = B
C(x + y) = B --> x + y = B/C
Cy + Cx = A --> C(y + x) = A
C(y + x) = A --> y + x = A/C
Cx + Cy = B --> C(x + y) = B
C(x + y) = B --> x + y = B/C
Cz + Cy = A --> C(z + y) = A
C(z + y) = A --> z + y = A/C
Cy + Cx = B --> C(y + x) = B
C(y + x) = B --> y + x = B/C
Cx + Cy = A --> C(x + y) = A
C(x + y) = A --> x + y = A/C
Cx + Cz = B --> C(x + z) = B
C(x + z) = B --> x + z = B/C
w + x = D --> w + x = D
Dw + Dx = E --> D(w + x) = E
D(w + x) = E --> w + x = E/D
x + z = D --> x + z = D
Dx + Dz = E --> D(x + z) = E
D(x + z) = E --> x + z = E/D
w + y = D --> w + y = D
Dw + Dy = E --> D(w + y) = E
D(w + y) = E --> w + y = E/D
w + z = D --> w + z = D
Dw + Dz = F --> D(w + z) = F
D(w + z) = F --> Dw + Dz = F
y + z = D --> y + z = D
Dy + Dz = F --> D(y + z) = F
D(y + z) = F --> Dy + Dz = F
z + w = D --> z + w = D
Dz + Dw = F --> D(z + w) = F
D(z + w) = F --> Dz + Dw = F
x + y = D --> x + y = D
Dx + Dy = E --> D(x + y) = E
D(x + y) = E --> Dx + Dy = E
Dw + Dz = F --> D(w + z) = F
D(w + z) = F --> Dw + Dz = F
y + w = D --> y + w = D
Dy + Dw = F --> D(y + w) = F
D(y + w) = F --> Dy + Dw = F
z + x = D --> z + x = D
Dz + Dx = F --> D(z + x) = F
D(z + x) = F --> Dz + Dx = F
Dw + Dy = E --> D(w + y) = E
D(w + y) = E --> Dw + Dy = E
x + w = D --> x + w = D
Dx + Dw = E --> D(x + w) = E
D(x + w) = E --> Dx + Dw = E
y + x = D --> y + x = D
Dy + Dx = F --> D(y + x) = F
D(y + x) = F --> Dy + Dx = F
z + y = D --> z + y = D
Dz + Dy = F --> D(z + y) = F
D(z + y) = F --> Dz + Dy = F
Dx + Dz = F --> D(x + z) = F
D(x + z) = F --> Dx + Dz = F
A + B = Y --> A + B = Y
AB + AC = Z --> A(B + C) = Z
A(B + C) = Z --> AB + AC = Z
B + C = Y --> B + C = Y
BA + BC = Z --> B(A + C) = Z
B(A + C) = Z --> BA + BC = Z
C + A = Y --> C + A = Y
CB + CA = Z --> C(B + A) = Z
C(B + A) = Z --> CB + CA = Z
A + C = Y --> A + C = Y
AB + AD = Z --> A(B + D) = Z
A(B + D) = Z --> AB + AD = Z
B + D = Y --> B + D = Y
BD + BA = Z --> B(D + A) = Z
B(D + A) = Z --> BD + BA = Z
D + A = Y --> D + A = Y
DB + DA = Z --> D(B + A) = Z
D(B + A) = Z --> DB + DA = Z
AC + AD = Z --> A(C + D) = Z
A(C + D) = Z --> AC + AD = Z
C + D = Y --> C + D = Y
CA + CD = Z --> C(A + D) = Z
C(A + D) = Z --> CA + CD = Z
D + B = Y --> D + B = Y
DB + DC = Z --> D(B + C) = Z
D(B + C) = Z --> DB + DC = Z
A + D = Y --> A + D = Y
AC + AB = Z --> A(C + B) = Z
A(C + B) = Z --> AC + AB = Z
B + A = Y --> B + A = Y
BC + BD = Z --> B(C + D) = Z
B(C + D) = Z --> BC + BD = Z
C + B = Y --> C + B = Y
CA + CB = Z --> C(A + B) = Z
C(A + B) = Z --> CA + CB = Z
D + C = Y --> D + C = Y
